Jordan,Amman,jordanian,Rifal
Jordán,Amman,jordano,Reval
Jordan,Amman,jordanisch,Reval
Jordanië,Amman,jordanian,Reval
Jordan,Amman,jordanien,Reval
Giordania,Amman,jordanian,Reval
Иордания,Амман,Иорданская,Reval
Jordanien,Amman,jordanian,Reval
Jordânia,Amã,jordanian,Reval
الأردن,عمان,أردني,ريفال
Jordan,Amman,jordanske,Reval
Jordan,Amman,jordansk,Reval
Jordania,Amman,Jordańczyk,Reval
Jordan,amman,Jordanian,Reval
Jordaania,Amman,Jordaania,Reval
Iordania,Amman,iordaniene,Reval
Ürdün,Amman,Ürdün,Reval
Jordánia,Amman,jordán,Reval
Jordan,Amman,jordanian,Reval
Jordan,Amman,jordanski,Reval
Ιορδανία,Αμμάν,Ιορδανίας,Reval
Jordània,Amman,jordà,Reval
Jordan,Amman,jordanez,Reval
jordan,Amman,հորդանանյան,Reval
Jordan,Amman,İordaniya,Reval
Іарданія,Аман,іярданская,Reval
Jordan,Amman,jordanski,Reval
Йордания,Аман,йордански,Ревал
Jordán,Amman,jordánský,Reval
Jordan,Amman,იორდანიის,Reval
Jordan,Amman,Jórdaníu,Reval
Jordānija,Ammāna,Jordānijas,Reval
Jordanija,Amanas,Jordanijos,Reval
Џордан,Аман,Јорданскиот,Ревал
Јордан,Аман,јордански,ревал
Jordán,Amman,jordánsky,Reval
Jordan,Aman,Jordanski,Reval
Йорданія,Амман,Йорданська,Reval
