Lybia,Tripoli,lybian,Gaddafi
libios,Trípoli,Libia,Gadafi
Libyer,Tripoli,Libyen,Gaddafi
Libiërs,Tripoli,Libië,Gaddafi
Libyens,Tripoli,Libye,Kadhafi
libici,Tripoli,Libia,Gheddafi
ливийцы,Триполи,Ливия,Каддафи
libyer,Tripoli,libyen,Gaddafi
líbios,Tripoli,Líbia,Gaddafi
الليبيين,طرابلس,ليبيا,القذافي
libyere,Tripoli,libyen,Gaddafi
libyere,Tripoli,libya,Gaddafi
Libijczycy,Trypolis,Libia,Kadafi
Libyans,Tripoli,libya,Gaddafi
liibüalased,Tripoli,Liibüa,Gaddafi
libieni,Tripoli,Libia,Gaddafi
Libyalılar,Trablus,Libya,Kaddafi
líbiaiak,Tripoli,Líbia,Kadhafi
libyalaiset,Tripoli,Libya,Gaddafi
Libijci,Tripoli,Libija,Gadafi
Λίβυοι,Τρίπολη,Λιβύη,Καντάφι
libis,Trípoli,Líbia,Gaddafi
Libianët,Tripoli,Libi,Gaddafi
Լիբիայում,Tripoli,Լիբիան,Քադաֆիի
Liviyalılar,Tripoli,libya,Qəddafi
лівійцы,Трыпалі,Лівія,Кадафі
Libijci,Tripoli,Libija,Gadafi
либийците,Триполи,Либия,Кадафи
Libyjci,Tripoli,Libye,Kaddáfí
ლიბიელები,Tripoli,ლიბიაში,Gaddafi
Líbýumenn,Tripoli,Libya,Gaddafi
Lībijas,Tripole,Lībija,Kadafi
Libijos,Tripolis,Libija,Kadhafi
Либијците,Триполи,либија,Гадафи
Либијци,триполи,Либија,Гадафи
Líbyjčania,Tripoli,Líbya,Kaddáfí
Libijci,Tripoli,libija,Gadafi
лівійці,Тріполі,Лівія,Каддафі
