Sudan,sudanese,Karthoum,Bashir
Sudán,sudanés,Jartum,Bashir
Sudan,sudanese,Khartoum,Bashir
Soedan,Soedanees,Chartoem,Bashir
Soudan,soudanais,Khartoum,Bachir
Sudan,sudanese,Khartoum,Bashir
Судан,суданский,Хартум,Башир
Sudan,sudanese,Khartoum,Bashir
Sudão,sudanês,Khartoum,Bashir
سودان,سوداني,الخرطوم,بشير
Sudan,Sudans,Khartoum,Bashir
Sudan,sudanese,Khartoum,Bashir
Sudan,Sudańczycy,Chartum,Bashir
Sudan,Swdan,Khartoum,Bashir
Sudaan,Sudaani,Hartum,Bashir
Sudan,sudaneză,Khartoum,Bashir
Sudan,Sudan,Hartum,Beşir
Szudán,szudáni,Kartúm,Bashir
Sudan,Sudanin,Khartum,Bashir
Sudan,sudanski,Khartoum,Bashir
Σουδάν,του Σουδάν,Χαρτούμ,Μπασίρ
Sudan,sudanès,Khartum,Bashir
Sudan,sudanez,Khartoum,Bashir
Սուդան,Սուդանի,Խարթում,Բաշիր
Sudan,Sudanese,Khartoum,Bashir
Судан,суданскі,Хартум,Башыр
sudan,sudanski,Khartoum,Bashir
Судан,судански,Хартум,Башир
Sudan,súdánský,Chartúm,Bashir
სუდანი,სუდანის,ამყარებს,Bashir
sudan,Sudanese,Khartoum,Bashir
Sudāna,sudānietis,Hartuma,Bashir
Sudanas,Sudano,Chartumas,Bashiras
Судан,Судан,Картум,Башир
судан,судански,Картум,Башир
Sudan,sudánsky,Chartúm,Bashir
Sudan,Sudanski,Kartum,Bashir
Судан,суданський,Хартум,Башир
